Month,Day,Hour,Humidity,Temperture,Pressure
2,14,9,3.0,93,999
2,14,19,4,76,1003
2,14,7,2.0,93,998
2,14,6,2.0,93,998
2,14,13,5.0,87,1002
2,14,10,4,82,1000
2,14,21,4.0,81,1001
2,14,7,2.0,93,998
2,14,19,3.0,87,1002
2,14,14,6.0,76,1002
2,14,14,6.0,81,1002
2,14,4,1,86,997
2,14,14,6,72,1002
2,14,23,3,76,1000
2,14,22,4.0,81,1000
2,14,13,6,72,1002
2,14,6,2,89,998
2,14,19,4.0,81,1003
2,14,8,2,87,999
2,14,8,2.0,93,999
2,14,8,3.0,93,999
2,14,11,5.0,81,1001
2,14,20,3.0,87,1003
2,14,5,1,86,997
2,14,15,6.0,76,1002
2,14,5,1.0,93,997
2,14,15,6,67,1002
2,14,7,2,91,998
2,14,15,6.0,76,1002
2,14,21,3.0,87,1002
2,14,17,5,67,1003
2,14,22,3.0,87,1000
2,14,17,5.0,76,1003
2,14,17,5.0,76,1003
2,14,4,1.0,93,996
2,14,1,1.0,93,995
2,14,22,4,77,1001
2,14,1,2,82,995
2,14,6,2.0,93,997
2,14,1,1.0,93,995
2,14,20,4.0,81,1003
2,14,2,1.0,93,995
2,14,2,1,86,996
2,14,16,6,70,1003
2,14,2,1.0,93,996
2,14,10,5.0,81,1001
2,14,18,4.0,81,1002
2,14,18,4,74,1003
2,14,3,1.0,93,996
2,14,3,1.0,87,996
2,14,23,3.0,87,1000
2,14,3,1,84,996
2,14,12,6.0,76,1002
2,14,16,5.0,81,1003
2,14,13,6.0,81,1002
2,14,11,5.0,87,1001
2,14,23,3.0,87,999
2,14,12,6,75,1002
2,14,20,4,79,1003
2,14,0,2,76,994
2,14,0,2.0,81,994
2,14,0,1.0,87,994
2,14,5,2.0,93,997
2,14,18,4.0,81,1002
2,15,6,4.0,87,989
2,15,10,6.0,81,988
2,15,6,4,80,990
2,15,6,4.0,87,989
2,15,1,3,74,998
2,15,8,4.0,87,988
2,15,8,4,77,989
2,15,13,7.0,81,988
2,15,13,7.0,81,988
2,15,1,4.0,75,996
2,15,13,7,73,988
2,15,4,4.0,81,990
2,15,4,4.0,81,991
2,15,2,4.0,75,994
2,15,4,4,75,992
2,15,14,7,70,988
2,15,9,4,78,988
2,15,3,4,68,995
2,15,16,9,49,988
2,15,14,9.0,62,988
2,15,12,7.0,81,988
2,15,23,7,61,988
2,15,12,7.0,81,988
2,15,10,6,74,988
2,15,20,8.0,62,988
2,15,0,3.0,81,997
2,15,10,6.0,81,988
2,15,15,9.0,62,988
2,15,8,4.0,87,988
2,15,21,8.0,62,988
2,15,7,4,80,989
2,15,23,7.0,71,987
2,15,7,4.0,87,988
2,15,7,4.0,87,988
2,15,14,8.0,71,988
2,15,22,8.0,66,988
2,15,11,7.0,76,988
2,15,22,8,53,988
2,15,17,8.0,66,988
2,15,11,6,72,988
2,15,16,9.0,62,988
2,15,11,6.0,81,988
2,15,0,3.0,87,999
2,15,19,8,48,988
2,15,21,8,50,988
2,15,3,4.0,81,992
2,15,17,8,51,988
2,15,22,7.0,71,987
2,15,18,8,53,988
2,15,18,8.0,62,988
2,15,18,8.0,62,988
2,15,1,4.0,75,996
2,15,15,9,47,988
2,15,5,4.0,87,990
2,15,15,9.0,58,988
2,15,5,4,74,990
2,15,20,8.0,62,988
2,15,5,4.0,87,990
2,15,2,4,70,996
2,15,2,4.0,75,995
2,15,12,7,68,989
2,15,21,8.0,62,988
2,15,17,8.0,66,988
2,15,16,9.0,62,988
2,15,23,7.0,71,987
2,15,3,4.0,81,993
2,16,3,5,79,987
2,16,15,5,78,994
2,16,3,6.0,81,987
2,16,15,5.0,81,994
2,16,15,5.0,81,995
2,16,21,4.0,81,999
2,16,20,5,73,999
2,16,18,5,78,997
2,16,18,5.0,81,997
2,16,1,6.0,76,986
2,16,22,4.0,81,1000
2,16,2,6.0,81,986
2,16,1,7.0,71,986
2,16,14,5.0,87,993
2,16,1,7,64,987
2,16,11,6,70,992
2,16,14,7,60,993
2,16,14,7.0,71,993
2,16,12,7.0,71,993
2,16,20,4.0,81,999
2,16,8,5.0,81,990
2,16,22,4,73,1000
2,16,5,5.0,81,989
2,16,5,5.0,87,989
2,16,3,6.0,81,987
2,16,5,5,76,989
2,16,11,7.0,71,992
2,16,23,4,73,1001
2,16,2,6,64,987
2,16,22,4.0,75,1000
2,16,0,7.0,71,987
2,16,17,4,77,996
2,16,21,4,70,1000
2,16,4,6.0,81,988
2,16,4,6,78,988
2,16,13,7.0,71,993
2,16,4,6.0,81,988
2,16,19,5,73,998
2,16,10,6,67,992
2,16,6,5,79,990
2,16,10,6.0,76,991
2,16,6,5.0,87,989
2,16,6,6.0,81,989
2,16,18,5.0,81,997
2,16,11,6.0,76,992
2,16,12,7.0,71,992
2,16,7,5.0,81,991
2,16,12,6,66,993
2,16,23,3.0,81,1001
2,16,7,6,72,990
2,16,7,6.0,76,990
2,16,0,6,68,988
2,16,9,6.0,76,991
2,16,23,3.0,81,1001
2,16,8,5.0,81,991
2,16,9,5,71,991
2,16,19,5.0,76,998
2,16,20,4.0,81,999
2,16,16,4.0,87,996
2,16,16,5.0,81,995
2,16,10,6.0,76,991
2,16,16,5,77,996
2,16,21,4.0,81,1000
2,16,2,5.0,87,987
2,16,13,6,72,993
2,16,0,7.0,71,987
2,16,19,5.0,81,998
2,16,13,7.0,71,992
2,16,17,4.0,87,996
2,16,9,6.0,76,991
2,16,17,5.0,81,996
2,16,8,4,79,991
2,17,1,4,77,1002
2,17,11,7.0,66,1008
2,17,22,2,83,1014
2,17,23,1.0,93,1014
2,17,21,2,78,1013
2,17,2,3.0,81,1002
2,17,19,3.0,75,1012
2,17,0,3,74,1002
2,17,16,8,40,1010
2,17,0,3.0,81,1001
2,17,16,7.0,53,1010
2,17,16,7.0,53,1010
2,17,13,7.0,61,1009
2,17,18,4.0,70,1011
2,17,12,7.0,66,1008
2,17,22,1.0,93,1013
2,17,22,1.0,87,1013
2,17,1,3.0,87,1002
2,17,11,7.0,66,1007
2,17,4,3.0,81,1003
2,17,10,7.0,66,1007
2,17,4,3,74,1003
2,17,3,3.0,81,1002
2,17,4,3.0,81,1002
2,17,23,1.0,87,1013
2,17,20,2.0,81,1012
2,17,7,3.0,81,1004
2,17,20,3,70,1013
2,17,7,3,79,1004
2,17,7,3.0,81,1004
2,17,9,5.0,76,1006
2,17,6,3.0,81,1004
2,17,6,3.0,81,1003
2,17,6,3,73,1004
2,17,19,3.0,81,1012
2,17,23,1,82,1014
2,17,12,8,49,1008
2,17,20,2.0,81,1013
2,17,19,3,69,1012
2,17,10,6,63,1007
2,17,8,3,75,1005
2,17,8,3.0,87,1005
2,17,21,2.0,81,1013
2,17,21,2.0,87,1013
2,17,13,7,51,1009
2,17,5,3,78,1004
2,17,13,8.0,57,1008
2,17,5,3.0,81,1003
2,17,5,3.0,81,1003
2,17,0,3.0,87,1001
2,17,9,5.0,76,1006
2,17,1,3.0,87,1002
2,17,18,3.0,75,1012
2,17,3,3,74,1003
2,17,2,3.0,87,1002
2,17,14,8.0,53,1009
2,17,2,3,77,1002
2,17,18,4,57,1012
2,17,17,6,42,1011
2,17,10,6.0,70,1006
2,17,17,6.0,57,1011
2,17,9,4,73,1006
2,17,14,7.0,61,1009
2,17,11,7,57,1007
2,17,8,4.0,81,1005
2,17,14,7,48,1010
2,17,17,5.0,65,1011
2,17,15,8.0,53,1010
2,17,15,8.0,53,1009
2,17,3,3.0,81,1002
2,17,15,8,41,1010
2,18,8,5.0,93,1012
2,18,5,3.0,93,1013
2,18,14,6,75,1011
2,18,11,6,87,1013
2,18,5,3,87,1014
2,18,19,5.0,87,1008
2,18,5,3.0,93,1013
2,18,2,2,87,1014
2,18,14,7.0,76,1010
2,18,20,5.0,87,1008
2,18,3,2,88,1014
2,18,15,6.0,81,1010
2,18,19,5.0,87,1008
2,18,7,4.0,93,1012
2,18,7,4.0,93,1012
2,18,1,2.0,87,1014
2,18,7,4,90,1013
2,18,17,6.0,81,1009
2,18,18,5.0,87,1009
2,18,18,6.0,81,1009
2,18,0,1,85,1014
2,18,14,6.0,81,1011
2,18,8,4,90,1013
2,18,15,6,71,1010
2,18,11,6.0,87,1012
2,18,3,3.0,87,1014
2,18,11,6.0,87,1012
2,18,16,6,73,1010
2,18,4,3,88,1014
2,18,16,6.0,81,1009
2,18,4,3.0,93,1013
2,18,4,3.0,93,1013
2,18,18,6,78,1009
2,18,20,5.0,87,1008
2,18,9,5,93,1013
2,18,9,5.0,93,1012
2,18,17,6.0,81,1009
2,18,3,2.0,93,1014
2,18,12,6.0,87,1011
2,18,2,2.0,93,1014
2,18,20,5,85,1008
2,18,12,6,87,1012
2,18,12,6.0,87,1012
2,18,8,4.0,100,1012
2,18,21,5.0,87,1008
2,18,21,5.0,87,1008
2,18,21,5,81,1008
2,18,22,6.0,81,1008
2,18,10,6.0,87,1012
2,18,10,5.0,93,1012
2,18,16,6.0,81,1009
2,18,10,5,91,1012
2,18,0,2.0,93,1014
2,18,17,6,76,1010
2,18,15,6.0,81,1010
2,18,2,2.0,93,1014
2,18,6,4.0,87,1013
2,18,6,3,89,1014
2,18,22,5.0,87,1007
2,18,6,4.0,93,1013
2,18,1,2,87,1014
2,18,13,6,82,1012
2,18,1,2.0,93,1014
2,18,13,6.0,87,1011
2,18,13,6.0,81,1011
2,18,22,5,80,1008
2,18,23,5.0,87,1007
2,18,19,5,78,1009
2,18,23,5,83,1008
2,18,9,5.0,93,1012
2,18,23,5.0,87,1007
2,18,0,2.0,87,1014
2,19,17,7.0,81,1006
2,19,5,5.0,93,1005
2,19,1,5.0,87,1007
2,19,1,5,86,1007
2,19,21,6.0,87,1007
2,19,1,5.0,87,1007
2,19,6,5,86,1006
2,19,14,8,80,1006
2,19,6,5.0,93,1005
2,19,14,8.0,81,1006
2,19,14,8.0,81,1006
2,19,22,5.0,93,1007
2,19,19,6,80,1007
2,19,20,6.0,87,1007
2,19,19,6.0,87,1007
2,19,20,6,83,1007
2,19,17,7,75,1007
2,19,20,6.0,87,1007
2,19,7,5.0,93,1005
2,19,13,7.0,93,1006
2,19,2,5.0,93,1006
2,19,12,7.0,87,1006
2,19,2,5,85,1007
2,19,2,5.0,87,1006
2,19,4,5.0,93,1005
2,19,0,5.0,87,1007
2,19,0,5.0,87,1007
2,19,6,5.0,93,1005
2,19,0,5,81,1008
2,19,21,6,84,1008
2,19,10,6.0,93,1006
2,19,7,5,87,1006
2,19,18,6.0,87,1007
2,19,21,6.0,87,1007
2,19,12,7.0,87,1006
2,19,23,5.0,87,1007
2,19,16,8.0,81,1006
2,19,16,8,74,1006
2,19,5,5.0,93,1005
2,19,16,7.0,81,1006
2,19,11,6,88,1006
2,19,3,5,87,1007
2,19,11,6.0,93,1006
2,19,3,5.0,93,1006
2,19,3,5.0,93,1006
2,19,18,7,78,1007
2,19,19,6.0,87,1007
2,19,10,6.0,93,1006
2,19,4,5.0,93,1006
2,19,15,8.0,81,1006
2,19,4,5,89,1006
2,19,23,5,85,1008
2,19,15,8,74,1006
2,19,23,5.0,87,1007
2,19,15,8.0,81,1006
2,19,12,6,90,1006
2,19,5,5,89,1006
2,19,22,6.0,87,1008
2,19,13,7,88,1006
2,19,22,6,87,1008
2,19,13,8.0,87,1006
2,19,9,6.0,87,1006
2,19,9,5,88,1006
2,19,17,7.0,81,1006
2,19,11,6.0,93,1006
2,19,9,6.0,93,1006
2,19,7,5.0,93,1005
2,19,18,6.0,87,1007
2,19,8,5.0,93,1006
2,19,8,5.0,93,1005
2,19,10,6,90,1006
2,19,8,5,86,1006
2,20,8,5.0,87,1007
2,20,11,6.0,87,1007
2,20,8,4,88,1008
2,20,11,6,85,1008
2,20,13,6,85,1007
2,20,11,6.0,87,1007
2,20,3,5.0,87,1008
2,20,6,5.0,87,1007
2,20,6,5,86,1008
2,20,1,5.0,93,1007
2,20,6,5.0,93,1007
2,20,5,5.0,93,1007
2,20,5,5,90,1008
2,20,13,6.0,87,1006
2,20,15,6.0,93,1004
2,20,5,5.0,93,1007
2,20,17,6.0,87,1003
2,20,4,5.0,93,1007
2,20,4,5.0,93,1007
2,20,14,6,85,1006
2,20,4,5,90,1008
2,20,23,6,86,1001
2,20,9,5.0,93,1008
2,20,0,5.0,87,1007
2,20,9,5,90,1008
2,20,17,6.0,87,1003
2,20,20,6,76,1003
2,20,10,5,89,1008
2,20,20,7.0,81,1002
2,20,10,6.0,93,1007
2,20,10,6.0,93,1007
2,20,21,6.0,87,1001
2,20,1,5.0,93,1007
2,20,7,5,89,1008
2,20,17,6,82,1004
2,20,7,4.0,93,1007
2,20,7,5.0,87,1007
2,20,2,5.0,93,1008
2,20,22,6,83,1001
2,20,21,6.0,87,1001
2,20,3,5.0,93,1008
2,20,16,6.0,87,1004
2,20,8,5.0,87,1008
2,20,0,4.0,93,1007
2,20,19,6.0,87,1002
2,20,0,4,88,1008
2,20,19,6,81,1003
2,20,19,6.0,87,1003
2,20,20,7.0,81,1001
2,20,22,6.0,87,1000
2,20,14,6.0,93,1005
2,20,23,5.0,93,1000
2,20,21,6,77,1002
2,20,9,5.0,93,1008
2,20,16,6.0,87,1004
2,20,18,6.0,87,1003
2,20,3,5,90,1008
2,20,12,6.0,93,1007
2,20,22,6.0,87,1001
2,20,12,6,84,1008
2,20,12,6.0,87,1007
2,20,1,5,86,1008
2,20,15,6,86,1006
2,20,15,6.0,93,1005
2,20,13,6.0,87,1006
2,20,2,5,89,1008
2,20,18,6,80,1004
2,20,2,5.0,93,1007
2,20,16,6,85,1005
2,20,18,6.0,87,1003
2,20,23,5.0,93,1000
2,20,14,6.0,93,1006
2,21,5,6,91,997
2,21,23,4,76,1003
2,21,5,6.0,93,997
2,21,12,8,64,1000
2,21,8,7,89,998
2,21,12,8.0,71,999
2,21,7,7.0,93,997
2,21,8,7.0,93,998
2,21,13,8,63,1000
2,21,22,4,82,1002
2,21,4,6.0,93,997
2,21,7,7.0,93,997
2,21,6,7.0,93,997
2,21,19,5,72,1001
2,21,20,5.0,81,1001
2,21,18,6.0,76,1001
2,21,10,8.0,81,999
2,21,9,8.0,87,998
2,21,10,8,80,999
2,21,9,7,83,999
2,21,11,9.0,71,999
2,21,9,7.0,87,998
2,21,15,8.0,66,999
2,21,3,6.0,93,997
2,21,3,6.0,87,998
2,21,5,7.0,93,997
2,21,3,6,90,998
2,21,14,8.0,66,999
2,21,14,9.0,62,999
2,21,4,6,90,998
2,21,14,8,57,1000
2,21,21,4.0,87,1002
2,21,6,7.0,93,997
2,21,20,5.0,81,1001
2,21,2,6.0,93,998
2,21,2,6,90,999
2,21,2,6.0,93,998
2,21,10,8.0,76,999
2,21,0,5.0,93,999
2,21,0,5.0,93,999
2,21,21,4.0,87,1002
2,21,17,7,77,1000
2,21,17,6.0,87,1000
2,21,17,6.0,81,1000
2,21,12,8.0,71,999
2,21,20,5,76,1002
2,21,18,6.0,76,1000
2,21,1,6.0,87,998
2,21,18,6,71,1001
2,21,8,7.0,93,998
2,21,1,5,88,1000
2,21,1,6.0,87,999
2,21,6,7,88,998
2,21,16,7.0,81,1000
2,21,22,4.0,87,1002
2,21,16,8,65,1000
2,21,11,9.0,71,999
2,21,16,7.0,81,1000
2,21,23,4.0,87,1002
2,21,13,8.0,66,999
2,21,15,8.0,71,1000
2,21,4,6.0,93,997
2,21,7,7,88,997
2,21,22,4.0,87,1002
2,21,21,4,79,1002
2,21,19,5.0,81,1001
2,21,13,8.0,71,999
2,21,11,8,69,1000
2,21,19,5.0,81,1001
2,21,23,4.0,87,1002
2,22,13,6,69,1005
2,22,5,5,77,1002
2,22,13,7.0,76,1004
2,22,5,5.0,81,1002
2,22,5,5.0,81,1002
2,22,17,6.0,81,1007
2,22,23,6.0,81,1011
2,22,8,5,77,1003
2,22,8,5.0,81,1003
2,22,2,4.0,87,1002
2,22,10,5,77,1004
2,22,22,6.0,81,1011
2,22,12,6.0,81,1004
2,22,9,5.0,81,1003
2,22,4,5.0,81,1002
2,22,10,6.0,76,1003
2,22,4,5,81,1003
2,22,4,5.0,81,1002
2,22,3,4,82,1003
2,22,20,6.0,81,1009
2,22,20,6,73,1009
2,22,18,6.0,87,1007
2,22,20,6.0,81,1009
2,22,15,6.0,87,1006
2,22,15,6.0,87,1005
2,22,13,6.0,81,1004
2,22,15,6,79,1006
2,22,1,4.0,87,1002
2,22,12,6,74,1004
2,22,22,6,75,1011
2,22,22,6.0,81,1011
2,22,3,5.0,81,1002
2,22,9,5,77,1004
2,22,14,6.0,81,1005
2,22,21,6.0,81,1010
2,22,14,6,75,1005
2,22,23,6.0,81,1011
2,22,21,6,78,1010
2,22,14,6.0,87,1005
2,22,10,6.0,76,1003
2,22,0,4,80,1003
2,22,16,6,77,1006
2,22,0,4.0,87,1002
2,22,16,6.0,87,1006
2,22,16,6.0,81,1006
2,22,23,6,75,1012
2,22,19,6.0,87,1009
2,22,8,5.0,81,1003
2,22,1,4.0,87,1002
2,22,2,4.0,87,1002
2,22,17,6.0,81,1007
2,22,2,4,84,1003
2,22,17,6,76,1007
2,22,11,6,73,1004
2,22,9,5.0,81,1003
2,22,19,6,78,1009
2,22,18,6.0,87,1008
2,22,19,6.0,87,1009
2,22,21,6.0,81,1010
2,22,11,6.0,76,1003
2,22,6,5.0,81,1002
2,22,6,5.0,81,1002
2,22,0,4.0,87,1002
2,22,6,5,77,1002
2,22,12,6.0,81,1004
2,22,1,4,84,1003
2,22,11,6.0,76,1004
2,22,3,4.0,87,1002
2,22,7,5.0,81,1002
2,22,7,5,76,1003
2,22,7,5.0,81,1003
2,22,18,6,77,1008
2,23,13,7,62,1015
2,23,18,7,62,1015
2,23,18,7.0,71,1014
2,23,23,8.0,66,1015
2,23,11,6,75,1015
2,23,3,6,76,1013
2,23,15,8,54,1015
2,23,3,6.0,81,1013
2,23,9,5.0,87,1014
2,23,15,8.0,66,1014
2,23,10,6.0,81,1015
2,23,19,7.0,71,1014
2,23,2,6.0,81,1013
2,23,23,8,60,1016
2,23,8,5,79,1015
2,23,1,6.0,81,1012
2,23,14,8.0,66,1014
2,23,0,6.0,81,1012
2,23,14,8,59,1015
2,23,1,6,72,1013
2,23,14,8.0,71,1014
2,23,20,7.0,71,1015
2,23,4,5.0,87,1014
2,23,4,6,77,1014
2,23,18,7.0,76,1014
2,23,4,5.0,87,1014
2,23,21,7,63,1015
2,23,5,5.0,87,1014
2,23,5,5.0,81,1014
2,23,19,7,62,1015
2,23,5,5,77,1014
2,23,13,8.0,66,1014
2,23,21,7.0,76,1015
2,23,2,6,71,1013
2,23,20,7,62,1015
2,23,21,7.0,76,1015
2,23,0,6,74,1012
2,23,15,8.0,66,1014
2,23,17,8.0,71,1014
2,23,10,5,77,1015
2,23,6,5,75,1014
2,23,10,5.0,87,1015
2,23,6,5.0,87,1014
2,23,6,5.0,87,1014
2,23,3,6.0,81,1013
2,23,9,5.0,87,1015
2,23,8,5.0,87,1014
2,23,22,7,64,1015
2,23,2,6.0,81,1013
2,23,12,7.0,71,1015
2,23,7,5.0,87,1014
2,23,12,6,70,1015
2,23,7,5,80,1014
2,23,0,6.0,81,1012
2,23,7,5.0,87,1014
2,23,11,6.0,81,1015
2,23,17,8,58,1015
2,23,22,8.0,71,1015
2,23,17,7.0,71,1014
2,23,19,7.0,71,1015
2,23,16,8.0,66,1014
2,23,16,8.0,66,1014
2,23,9,5,78,1015
2,23,16,8,57,1014
2,23,23,8.0,66,1015
2,23,20,7.0,71,1015
2,23,8,5.0,87,1014
2,23,13,8.0,71,1014
2,23,1,6.0,81,1012
2,23,11,6.0,81,1015
2,23,22,8.0,71,1015
2,23,12,7.0,71,1014
2,24,12,7.0,71,1015
2,24,16,7.0,66,1012
2,24,16,7,55,1012
2,24,16,7.0,66,1012
2,24,11,6,71,1016
2,24,3,7,64,1016
2,24,11,6.0,76,1016
2,24,3,7.0,76,1015
2,24,3,7.0,76,1015
2,24,19,6.0,70,1013
2,24,10,6.0,76,1016
2,24,4,7.0,76,1016
2,24,15,8.0,62,1012
2,24,4,7,64,1016
2,24,17,7,51,1012
2,24,15,8,50,1013
2,24,15,8.0,62,1012
2,24,12,7,63,1016
2,24,22,6.0,70,1013
2,24,22,6.0,70,1013
2,24,22,6,58,1013
2,24,23,6,64,1013
2,24,9,5.0,81,1016
2,24,9,5,74,1016
2,24,17,7.0,61,1012
2,24,11,6.0,76,1015
2,24,9,6.0,76,1016
2,24,21,6,59,1013
2,24,7,5.0,81,1016
2,24,13,8,56,1015
2,24,8,5.0,81,1016
2,24,8,5.0,81,1016
2,24,10,6,70,1016
2,24,8,5,75,1016
2,24,18,7.0,66,1012
2,24,21,6.0,70,1013
2,24,5,7.0,76,1016
2,24,23,6.0,70,1013
2,24,1,8.0,71,1016
2,24,1,8,60,1016
2,24,21,6.0,70,1013
2,24,5,6.0,81,1016
2,24,1,8.0,71,1016
2,24,6,6,70,1016
2,24,14,8,52,1014
2,24,6,6.0,76,1016
2,24,14,8.0,62,1013
2,24,14,8.0,62,1013
2,24,19,7,54,1013
2,24,20,6.0,70,1013
2,24,19,7.0,66,1013
2,24,20,6,60,1013
2,24,18,7,55,1013
2,24,20,6.0,70,1013
2,24,7,5.0,81,1016
2,24,13,8.0,66,1014
2,24,2,7.0,76,1015
2,24,12,8.0,66,1015
2,24,2,8,60,1016
2,24,23,6.0,70,1013
2,24,2,8.0,71,1015
2,24,5,7,64,1016
2,24,4,7.0,76,1016
2,24,17,7.0,61,1012
2,24,0,8.0,71,1015
2,24,0,8.0,66,1015
2,24,6,5.0,81,1016
2,24,0,8,59,1016
2,24,10,6.0,76,1016
2,24,13,8.0,66,1014
2,24,7,5,72,1016
2,24,18,7.0,66,1013
2,25,3,4.0,81,1012
2,25,12,7.0,66,1011
2,25,2,5.0,76,1012
2,25,20,4,78,1011
2,25,12,7,58,1012
2,25,7,4,71,1012
2,25,12,7.0,66,1011
2,25,8,4.0,81,1011
2,25,22,5.0,87,1011
2,25,21,5.0,81,1011
2,25,21,5.0,81,1011
2,25,3,5,70,1013
2,25,21,4,78,1012
2,25,19,4.0,87,1011
2,25,10,6.0,70,1011
2,25,10,6.0,70,1012
2,25,16,6.0,76,1010
2,25,10,5,64,1012
2,25,14,8.0,66,1010
2,25,0,5.0,76,1012
2,25,20,4.0,87,1011
2,25,15,7.0,71,1010
2,25,2,5.0,76,1012
2,25,20,4.0,87,1011
2,25,6,4.0,81,1011
2,25,19,4,77,1011
2,25,6,4,70,1012
2,25,14,8.0,66,1010
2,25,6,4.0,81,1011
2,25,1,5,68,1013
2,25,13,7,57,1011
2,25,1,5.0,76,1012
2,25,13,8.0,66,1011
2,25,13,7.0,71,1011
2,25,23,5.0,87,1011
2,25,22,5.0,87,1011
2,25,9,5.0,76,1012
2,25,23,5.0,87,1011
2,25,0,6.0,70,1012
2,25,8,4.0,81,1011
2,25,5,4.0,75,1012
2,25,14,7,61,1011
2,25,15,8,59,1011
2,25,5,4,70,1012
2,25,5,4.0,75,1012
2,25,2,5,68,1013
2,25,19,4.0,87,1011
2,25,7,4.0,81,1012
2,25,7,4.0,81,1011
2,25,1,5.0,76,1012
2,25,3,4.0,81,1012
2,25,17,5.0,81,1010
2,25,18,4.0,87,1011
2,25,18,5.0,81,1010
2,25,0,6,64,1013
2,25,18,5,77,1011
2,25,15,7.0,71,1010
2,25,8,4,74,1012
2,25,11,6.0,70,1011
2,25,11,6,60,1012
2,25,11,7.0,66,1011
2,25,4,4,71,1012
2,25,16,6.0,76,1010
2,25,4,4.0,81,1012
2,25,4,4.0,81,1012
2,25,22,5,77,1012
2,25,9,5,71,1012
2,25,9,5.0,76,1012
2,25,23,5,79,1012
2,25,17,5.0,81,1010
2,26,16,8.0,76,1015
2,26,19,7,71,1017
2,26,5,5.0,87,1012
2,26,15,8.0,76,1015
2,26,0,5.0,87,1011
2,26,14,9.0,71,1014
2,26,0,5,75,1012
2,26,7,5.0,87,1013
2,26,0,5.0,87,1011
2,26,3,5.0,87,1012
2,26,3,5,80,1012
2,26,19,7.0,81,1016
2,26,3,5.0,87,1012
2,26,6,5.0,87,1012
2,26,23,6.0,87,1018
2,26,2,5.0,87,1012
2,26,2,5.0,87,1012
2,26,2,5,80,1012
2,26,20,7.0,81,1017
2,26,20,7.0,81,1017
2,26,16,8,71,1016
2,26,20,6,78,1017
2,26,7,5.0,87,1013
2,26,14,8,67,1015
2,26,15,9,62,1015
2,26,17,8,68,1016
2,26,1,5,78,1012
2,26,17,8.0,76,1016
2,26,1,5.0,87,1012
2,26,1,5.0,87,1012
2,26,4,5.0,87,1012
2,26,21,6.0,87,1017
2,26,5,5.0,87,1012
2,26,8,5.0,87,1013
2,26,23,6.0,87,1017
2,26,8,5,81,1014
2,26,8,5.0,87,1013
2,26,16,8.0,76,1015
2,26,6,5.0,87,1012
2,26,13,8.0,76,1014
2,26,6,5,81,1013
2,26,13,8,67,1015
2,26,14,9.0,71,1014
2,26,13,8.0,76,1014
2,26,10,6.0,87,1014
2,26,10,6,80,1014
2,26,19,6.0,87,1017
2,26,15,8.0,76,1015
2,26,10,7.0,81,1014
2,26,21,7.0,81,1017
2,26,11,8.0,76,1014
2,26,11,7.0,81,1014
2,26,11,7,75,1014
2,26,22,6.0,87,1017
2,26,21,7,75,1018
2,26,5,5,81,1012
2,26,22,6.0,87,1017
2,26,18,7.0,81,1016
2,26,18,8,68,1016
2,26,18,7.0,81,1016
2,26,7,5,80,1013
2,26,9,5,79,1014
2,26,9,6.0,81,1013
2,26,9,6.0,81,1014
2,26,4,5,80,1012
2,26,22,6,79,1018
2,26,4,5.0,87,1012
2,26,12,9.0,71,1014
2,26,12,8.0,76,1014
2,26,17,8.0,76,1016
2,26,23,6,77,1018
